,Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
231,6/30/01,2.7,20010630,Grenada,E.Caribbean Dollar,Grenada,308,-2.023900041,2001
232,9/30/01,2.7,20010930,Grenada,E.Caribbean Dollar,Grenada,308,-2.023900041,2001
233,12/31/01,2.7,20011231,Grenada,E.Caribbean Dollar,Grenada,308,-2.023900041,2001
234,3/31/01,7.705,20010331,Guatemala,Quetzal,Guatemala,320,2.332574866,2001
235,6/30/01,7.705,20010630,Guatemala,Quetzal,Guatemala,320,2.332574866,2001
236,9/30/01,7.85,20010930,Guatemala,Quetzal,Guatemala,320,2.332574866,2001
237,12/31/01,8.005,20011231,Guatemala,Quetzal,Guatemala,320,2.332574866,2001
238,3/31/01,710.53,20010331,Guinea Bissau,CFA Franc,Guinea Bissau,324,3.658346469,2001
239,6/30/01,774.9,20010630,Guinea Bissau,CFA Franc,Guinea Bissau,324,3.658346469,2001
240,9/30/01,721.7,20010930,Guinea Bissau,CFA Franc,Guinea Bissau,324,3.658346469,2001
241,12/31/01,736.12,20011231,Guinea Bissau,CFA Franc,Guinea Bissau,324,3.658346469,2001
242,3/31/01,180.0,20010331,Guyana,Dollar,Guyana,328,2.279521659,2001
243,6/30/01,180.0,20010630,Guyana,Dollar,Guyana,328,2.279521659,2001
244,9/30/01,183.0,20010930,Guyana,Dollar,Guyana,328,2.279521659,2001
245,12/31/01,188.0,20011231,Guyana,Dollar,Guyana,328,2.279521659,2001
246,3/31/01,23.54,20010331,Haiti,Gourde,Haiti,332,-0.342747883,2001
247,6/30/01,23.75,20010630,Haiti,Gourde,Haiti,332,-0.342747883,2001
248,9/30/01,24.2,20010930,Haiti,Gourde,Haiti,332,-0.342747883,2001
249,12/31/01,26.75,20011231,Haiti,Gourde,Haiti,332,-0.342747883,2001
250,3/31/01,15.02,20010331,Honduras,Lempira,Honduras,340,2.723193273,2001
251,6/30/01,15.38,20010630,Honduras,Lempira,Honduras,340,2.723193273,2001
252,9/30/01,15.52,20010930,Honduras,Lempira,Honduras,340,2.723193273,2001
253,12/31/01,15.854,20011231,Honduras,Lempira,Honduras,340,2.723193273,2001
254,3/31/01,7.8,20010331,Hong Kong,Dollar,Hong Kong,344,0.560800279,2001
255,6/30/01,7.8,20010630,Hong Kong,Dollar,Hong Kong,344,0.560800279,2001
256,9/30/01,7.8,20010930,Hong Kong,Dollar,Hong Kong,344,0.560800279,2001
257,12/31/01,7.797,20011231,Hong Kong,Dollar,Hong Kong,344,0.560800279,2001
258,3/31/01,288.55,20010331,Hungary,Forint,Hungary,348,4.074088033,2001
259,6/30/01,299.28,20010630,Hungary,Forint,Hungary,348,4.074088033,2001
260,9/30/01,279.02,20010930,Hungary,Forint,Hungary,348,4.074088033,2001
261,12/31/01,274.24,20011231,Hungary,Forint,Hungary,348,4.074088033,2001
262,3/31/01,86.23,20010331,Iceland,Krona,Iceland,352,4.013497555,2001
263,6/30/01,104.72,20010630,Iceland,Krona,Iceland,352,4.013497555,2001
264,9/30/01,98.7,20010930,Iceland,Krona,Iceland,352,4.013497555,2001
265,12/31/01,102.81,20011231,Iceland,Krona,Iceland,352,4.013497555,2001
266,3/31/01,46.5,20010331,India,Rupee,India,356,4.823966266,2001
267,6/30/01,46.8,20010630,India,Rupee,India,356,4.823966266,2001
268,9/30/01,47.0,20010930,India,Rupee,India,356,4.823966266,2001
269,12/31/01,47.9,20011231,India,Rupee,India,356,4.823966266,2001
270,3/31/01,9440.0,20010331,Indonesia,Rupiah,Indonesia,360,3.643466448,2001
271,6/30/01,11240.0,20010630,Indonesia,Rupiah,Indonesia,360,3.643466448,2001
272,9/30/01,8840.0,20010930,Indonesia,Rupiah,Indonesia,360,3.643466448,2001
273,12/31/01,10060.0,20011231,Indonesia,Rupiah,Indonesia,360,3.643466448,2001
274,3/31/01,0.853,20010331,Ireland,Pound,Ireland,372,5.305821528,2001
275,6/30/01,1.181,20010630,Ireland,Euro,Ireland,372,5.305821528,2001
276,6/30/01,0.93,20010630,Ireland,Pound,Ireland,372,5.305821528,2001
277,9/30/01,1.1,20010930,Ireland,Euro,Ireland,372,5.305821528,2001
278,9/30/01,0.866,20010930,Ireland,Pound,Ireland,372,5.305821528,2001
279,12/31/01,1.122,20011231,Ireland,Euro,Ireland,372,5.305821528,2001
280,12/31/01,0.884,20011231,Ireland,Pound,Ireland,372,5.305821528,2001
281,3/31/01,4.108,20010331,Israel,Shekel,Israel,376,0.334070643,2001
282,6/30/01,4.133,20010630,Israel,Shekel,Israel,376,0.334070643,2001
283,9/30/01,4.26,20010930,Israel,Shekel,Israel,376,0.334070643,2001
284,12/31/01,4.407,20011231,Israel,Shekel,Israel,376,0.334070643,2001
