	Record Date	Exchange Rate	Effective Date	Country	Currency	Country Name	Country Code	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
1469	12/31/21	103.4	20211231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1440	12/31/21	91.39	20220215	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1284	3/31/22	88.62	20220331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
1122	6/30/22	87.68	20220630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
966	9/30/22	88.04	20220930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
801	12/31/22	89.11	20221231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
642	3/31/23	86.75	20230331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
476	6/30/23	85.95	20230630	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
315	9/30/23	77.86	20230930	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
311	9/30/23	69.39	20231130	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
158	12/31/23	70.54	20231231	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
2	3/31/24	71.2	20240331	Afghanistan	Afghani	Afghanistan	AFG	0.0	0.0	8.832277813	1.414117981	11.22971482	5.357403251	13.82631955	3.924983822	21.39052839	14.36244147	0.426354785	12.75228709	5.600744658	2.724543364	1.45131466	2.260314201	2.647003202	1.189228128	3.911603419	-2.351100673	-20.73883937	0.0	0.0
