Record Date,Exchange Rate,Effective Date,Country,Currency,Country Name,Country Code,GDPGrowth,Year
12/31/01,382.39,20011231,Greece,Drachma,Greece,GRC,4.131611986,2001
3/31/01,2.7,20010331,Grenada,E.Caribbean Dollar,Grenada,GRD,-2.023900041,2001
6/30/01,2.7,20010630,Grenada,E.Caribbean Dollar,Grenada,GRD,-2.023900041,2001
9/30/01,2.7,20010930,Grenada,E.Caribbean Dollar,Grenada,GRD,-2.023900041,2001
12/31/01,2.7,20011231,Grenada,E.Caribbean Dollar,Grenada,GRD,-2.023900041,2001
3/31/01,7.705,20010331,Guatemala,Quetzal,Guatemala,GTM,2.332574866,2001
6/30/01,7.705,20010630,Guatemala,Quetzal,Guatemala,GTM,2.332574866,2001
9/30/01,7.85,20010930,Guatemala,Quetzal,Guatemala,GTM,2.332574866,2001
12/31/01,8.005,20011231,Guatemala,Quetzal,Guatemala,GTM,2.332574866,2001
3/31/01,710.53,20010331,Guinea Bissau,CFA Franc,Guinea Bissau,GIN,3.658346469,2001
6/30/01,774.9,20010630,Guinea Bissau,CFA Franc,Guinea Bissau,GIN,3.658346469,2001
9/30/01,721.7,20010930,Guinea Bissau,CFA Franc,Guinea Bissau,GIN,3.658346469,2001
12/31/01,736.12,20011231,Guinea Bissau,CFA Franc,Guinea Bissau,GIN,3.658346469,2001
3/31/01,180.0,20010331,Guyana,Dollar,Guyana,GUY,2.279521659,2001
6/30/01,180.0,20010630,Guyana,Dollar,Guyana,GUY,2.279521659,2001
9/30/01,183.0,20010930,Guyana,Dollar,Guyana,GUY,2.279521659,2001
12/31/01,188.0,20011231,Guyana,Dollar,Guyana,GUY,2.279521659,2001
3/31/01,23.54,20010331,Haiti,Gourde,Haiti,HTI,-0.342747883,2001
6/30/01,23.75,20010630,Haiti,Gourde,Haiti,HTI,-0.342747883,2001
9/30/01,24.2,20010930,Haiti,Gourde,Haiti,HTI,-0.342747883,2001
12/31/01,26.75,20011231,Haiti,Gourde,Haiti,HTI,-0.342747883,2001
3/31/01,15.02,20010331,Honduras,Lempira,Honduras,HND,2.723193273,2001
6/30/01,15.38,20010630,Honduras,Lempira,Honduras,HND,2.723193273,2001
9/30/01,15.52,20010930,Honduras,Lempira,Honduras,HND,2.723193273,2001
12/31/01,15.854,20011231,Honduras,Lempira,Honduras,HND,2.723193273,2001
3/31/01,7.8,20010331,Hong Kong,Dollar,Hong Kong,HKG,0.560800279,2001
6/30/01,7.8,20010630,Hong Kong,Dollar,Hong Kong,HKG,0.560800279,2001
9/30/01,7.8,20010930,Hong Kong,Dollar,Hong Kong,HKG,0.560800279,2001
12/31/01,7.797,20011231,Hong Kong,Dollar,Hong Kong,HKG,0.560800279,2001
3/31/01,288.55,20010331,Hungary,Forint,Hungary,HUN,4.074088033,2001
6/30/01,299.28,20010630,Hungary,Forint,Hungary,HUN,4.074088033,2001
9/30/01,279.02,20010930,Hungary,Forint,Hungary,HUN,4.074088033,2001
12/31/01,274.24,20011231,Hungary,Forint,Hungary,HUN,4.074088033,2001
3/31/01,86.23,20010331,Iceland,Krona,Iceland,ISL,4.013497555,2001
6/30/01,104.72,20010630,Iceland,Krona,Iceland,ISL,4.013497555,2001
9/30/01,98.7,20010930,Iceland,Krona,Iceland,ISL,4.013497555,2001
12/31/01,102.81,20011231,Iceland,Krona,Iceland,ISL,4.013497555,2001
3/31/01,46.5,20010331,India,Rupee,India,IND,4.823966266,2001
6/30/01,46.8,20010630,India,Rupee,India,IND,4.823966266,2001
9/30/01,47.0,20010930,India,Rupee,India,IND,4.823966266,2001
12/31/01,47.9,20011231,India,Rupee,India,IND,4.823966266,2001
3/31/01,9440.0,20010331,Indonesia,Rupiah,Indonesia,IDN,3.643466448,2001
6/30/01,11240.0,20010630,Indonesia,Rupiah,Indonesia,IDN,3.643466448,2001
9/30/01,8840.0,20010930,Indonesia,Rupiah,Indonesia,IDN,3.643466448,2001
12/31/01,10060.0,20011231,Indonesia,Rupiah,Indonesia,IDN,3.643466448,2001
3/31/01,0.853,20010331,Ireland,Pound,Ireland,IRL,5.305821528,2001
6/30/01,1.181,20010630,Ireland,Euro,Ireland,IRL,5.305821528,2001
6/30/01,0.93,20010630,Ireland,Pound,Ireland,IRL,5.305821528,2001
9/30/01,1.1,20010930,Ireland,Euro,Ireland,IRL,5.305821528,2001
9/30/01,0.866,20010930,Ireland,Pound,Ireland,IRL,5.305821528,2001
12/31/01,1.122,20011231,Ireland,Euro,Ireland,IRL,5.305821528,2001
12/31/01,0.884,20011231,Ireland,Pound,Ireland,IRL,5.305821528,2001
3/31/01,4.108,20010331,Israel,Shekel,Israel,ISR,0.334070643,2001
6/30/01,4.133,20010630,Israel,Shekel,Israel,ISR,0.334070643,2001
9/30/01,4.26,20010930,Israel,Shekel,Israel,ISR,0.334070643,2001
12/31/01,4.407,20011231,Israel,Shekel,Israel,ISR,0.334070643,2001
3/31/01,1.083,20010331,Italy,Euro,Italy,ITA,1.951371556,2001
3/31/01,2097.3501,20010331,Italy,Lira,Italy,ITA,1.951371556,2001
6/30/01,1.181,20010630,Italy,Euro,Italy,ITA,1.951371556,2001
6/30/01,2287.3799,20010630,Italy,Lira,Italy,ITA,1.951371556,2001
9/30/01,1.1,20010930,Italy,Euro,Italy,ITA,1.951371556,2001
9/30/01,2130.3401,20010930,Italy,Lira,Italy,ITA,1.951371556,2001
12/31/01,1.122,20011231,Italy,Euro,Italy,ITA,1.951371556,2001
12/31/01,2172.9,20011231,Italy,Lira,Italy,ITA,1.951371556,2001
3/31/01,45.3,20010331,Jamaica,Dollar,Jamaica,JAM,1.344929564,2001
6/30/01,45.5,20010630,Jamaica,Dollar,Jamaica,JAM,1.344929564,2001
9/30/01,45.6,20010930,Jamaica,Dollar,Jamaica,JAM,1.344929564,2001
12/31/01,47.25,20011231,Jamaica,Dollar,Jamaica,JAM,1.344929564,2001
3/31/01,117.32,20010331,Japan,Yen,Japan,JPN,0.386103426,2001
6/30/01,119.01,20010630,Japan,Yen,Japan,JPN,0.386103426,2001
9/30/01,118.82,20010930,Japan,Yen,Japan,JPN,0.386103426,2001
12/31/01,131.31,20011231,Japan,Yen,Japan,JPN,0.386103426,2001
3/31/01,0.708,20010331,Jordan,Dinar,Jordan,JOR,5.269957575,2001
6/30/01,0.708,20010630,Jordan,Dinar,Jordan,JOR,5.269957575,2001
9/30/01,0.705,20010930,Jordan,Dinar,Jordan,JOR,5.269957575,2001
12/31/01,0.708,20011231,Jordan,Dinar,Jordan,JOR,5.269957575,2001
